acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre_class
0.00752,0.284,340907,0.875,0.000461,11,0.402,-6.069,0,0.0422,75.009,4,0.595,0
0.00178,0.394,292581,0.944,4.54e-06,10,0.298,-6.506,0,0.0761,105.338,4,0.265,0
0.323,0.36,342653,0.684,0,4,0.34,-6.457,0,0.0308,77.15,4,0.2,0
0.0404,0.285,318227,0.846,0,2,0.182,-6.472,1,0.0438,108.808,4,0.287,0
0.363,0.622,195467,0.692,0.000158,7,0.193,-6.97,1,0.0276,112.053,4,0.774,0
0.29,0.504,303587,0.354,4.71e-06,4,0.157,-11.3,1,0.0339,140.87,4,0.292,0
0.00746,0.615,234333,0.702,0.00431,7,0.0608,-9.686,1,0.0278,96.99,4,0.734,0
0.165,0.445,268587,0.671,1.56e-05,2,0.0791,-7.937,1,0.0387,125.712,4,0.267,0
0.000642,0.664,163920,0.964,0,9,0.0919,-4.831,0,0.0382,120.019,4,0.936,0
0.0519,0.291,196187,0.493,9.15e-06,7,0.101,-9.461,1,0.028,182.032,3,0.183,0
0.00203,0.155,287507,0.966,0.386,2,0.317,-4.227,1,0.121,152.271,4,0.188,0
0.00862,0.268,310249,0.811,1.47e-06,9,0.977,-7.76,0,0.0477,110.659,4,0.379,0
0.000296,0.29,361467,0.845,0.00311,0,0.876,-8.315,1,0.0408,140.19,4,0.28,0
0.00623,0.23,604807,0.667,8.02e-05,4,0.974,-7.516,0,0.0364,154.789,4,0.2,0
0.0265,0.29,340131,0.615,1.67e-06,5,0.938,-8.073,1,0.0286,159.367,3,0.5,0
0.0239,0.475,582580,0.703,0.000654,4,0.547,-8.7,0,0.0369,102.702,4,0.584,0
0.00305,0.341,230175,0.859,4.71e-06,4,0.857,-6.051,1,0.0389,130.862,4,0.523,0
0.0011,0.36,269614,0.708,0.000975,0,0.449,-10.172,1,0.0457,119.534,4,0.507,0
0.00139,0.313,248675,0.827,0.0147,7,0.973,-6.211,1,0.0551,116.735,4,0.489,0
0.0578,0.256,240865,0.585,0,7,0.562,-9.416,1,0.0358,169.707,3,0.489,0
0.000229,0.458,194401,0.879,1.67e-05,9,0.825,-6.811,1,0.0517,128.82,4,0.533,0
0.0768,0.534,249293,0.887,9.93e-05,0,0.325,-3.777,1,0.0345,122.494,4,0.72,0
0.0704,0.537,222707,0.959,1.8e-06,0,0.382,-3.002,0,0.0557,122.806,4,0.828,0
